"Screen","Route","Columns","Sorting","Filtering","Search","Pagination","Expected Response","Example JSON"
"ClinicInfoList","urls.setting_basis","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingTimekeepingList","urls.setting_timekeeping","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingCustomerList","urls.setting_customer","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingContactList","urls.setting_contact","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingCashBookList","urls.setting_cash_book","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingMarketResearchList","urls.setting_market_research","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingProjectList","urls.setting_project","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ConfigBPM","urls.config_bpm","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingDashboard","urls.setting_dashboard","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"PatientCaseList","urls.project","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"DailyProgressLogList","urls.middle_work","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingReportList","urls.setting_report","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"IntegratedMonitoring","urls.integrated_monitoring","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingCode","urls.setting_code","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ClinicCalendar","urls.calendar_common","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"DoctorQnAList","urls.call_center","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"EmailList","urls.email","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingAccount","urls.setting_account","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingKpiList","urls.setting_kpi","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"PatientGroup","urls.customer_segment","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"FeedbackCustomer","urls.feedback_customer","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"PostExamSurvey","urls.customer_survey","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"LinkSurvey","urls.link_survey","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingProcess","urls.setting_process","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ReportLogin","urls.report_login","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"BusinessProcessList","urls.manage_processes","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ManageDefaultProcesses","urls.manage_default_processes","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"BusinessRule","urls.business_rule","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"BusinessRuleConfig","urls.business_rule_config","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ProcessSimulation","urls.process_simulation","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"MiddleWorkList","urls.task_assignment","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"PendingWorkList","urls.pending_tasks","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"CompletedWorkList","urls.completed_tasks","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"PriorityWorkList","urls.task_prioritization","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"ProcessedObjectList","urls.object_manage","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"SettingBusinessProcess","urls.setting_business_process","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Filter modal/query params; support dynamic filters.","Optional.","Return array or paged result; prefer paged.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"Test","urls.test","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"BusinessProcessCreate","urls.bpm_create","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"BpmForm","urls.bpm_form","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Client sends sort/sortBy/order where present.","Filter modal/query params; support dynamic filters.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"
"MiddleWorkList","urls.user_task_list","Defined in page GridConfig/columnDefs/BoxTable. Backend must return fields referenced by row renderers and action columns.","Not explicit; return stable default order.","Basic status/date filters if service list accepts params.","keyword/search text expected.","pageIndex/pageSize/total expected.","{ code: 0, result: { data|items|content: [], total|totalElements: number, pageIndex, pageSize } } or { code: 0, result: [] }","{""code"":0,""result"":{""data"":[{""id"":1,""name"":""Example"",""status"":1}],""total"":1,""pageIndex"":1,""pageSize"":20}}"